NCBI GeneID	Symbol	Description	Taxonomic Name	Gene Type	Gene Group Identifier	Gene Group Method
888471	dosT	two component sensor histidine kinase DosT	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885294	trpC	indole-3-glycerol phosphate synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885332	Rv0802c	succinyl-CoA transferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885357	tpx	2-Cys peroxiredoxin	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885428	lysX	bifunctional lysine--tRNA ligase/phosphatidylglycerol lysyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885449	cysA2	thiosulfate sulfurtransferase CysA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885459	panC	pantothenate synthetase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885607	pknD	serine/threonine-protein kinase PknD	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885826	moaC2	cyclic pyranopterin monophosphate synthase accessory protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885993	prsA	ribose-phosphate pyrophosphokinase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885997	mshB	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886034	ispE	4-diphosphocytidyl-2C-methyl-D-erythritol kinase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886077	mfd	transcription-repair coupling factor	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886079	sigI	ECF RNA polymerase sigma factor SigI	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886143	PE_PGRS62	PE-PGRS family protein PE_PGRS62	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886274	hisB	imidazole glycerol-phosphate dehydratase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886362	Rv0431	tuberculin-like peptide	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886366	def	polypeptide deformylase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886568	rmlA	glucose-1-phosphate thymidylyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886866	murI	glutamate racemase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886952	rho	transcription termination factor Rho	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886960	lysA	diaminopimelate decarboxylase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887166	Rv0494	HTH-type transcriptional regulator	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887169	murB	UDP-N-acetylenolpyruvoylglucosamine reductase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887252	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887290	dut	deoxyuridine 5'-triphosphate nucleotidohydrolase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887379	aroF	chorismate synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887409	cyp141	cytochrome P450 Cyp141	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887464	frr	ribosome recycling factor	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887539	kasB	3-oxoacyl-ACP synthase 2	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887540	nuoG	NADH-quinone oxidoreductase subunit G	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887542	deoD	purine nucleoside phosphorylase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887671	accD6	acetyl-/propionyl-CoA carboxylase subunit beta	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887704	fas	fatty acid synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887709	pyrH	uridylate kinase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887815	serB2	phosphoserine phosphatase SerB	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887975	cdd	cytidine deaminase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888030	metA	homoserine O-acetyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888130	Rv3361c	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888162	dipZ	integral membrane C-type cytochrome biogenesis protein DipZ	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888167	clpX	ATP-dependent CLP protease ATP-binding subunit ClpX	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888213	nusA	transcription termination/antitermination protein NusA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888230	Rv0679c	hypothetical protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888262	tuf	elongation factor Tu	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888272	acpM	meromycolate extension acyl carrier protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888407	argA	L-glutamate alpha-N-acetyltranferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888422	kstD	3-oxosteroid 1-dehydrogenase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888443	dapB	4-hydroxy-tetrahydrodipicolinate reductase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888469	Rv2966c	methyltransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888567	adk	adenylate kinase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888626	acpS	holo-ACP synthase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888693	fbiB	coenzyme F420:L-glutamate ligase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888726	birA	bifunctional biotin operon repressor/biotin--[acetyl-CoA-carboxylase] synthetase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888742	blaC	beta-lactamase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888746	sahH	adenosylhomocysteinase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888778	Rv3168	aminoglycoside phosphotransferase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888959	PPE38	PPE family protein PPE38	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885735	garA	glycogen accumulation regulator GarA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886867	cysM	O-phosphoserine sulfhydrylase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887172	ppsD	phthiocerol synthesis polyketide synthase type I PpsD	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
888555	serA2	D-3-phosphoglycerate dehydrogenase SerA	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885050	mku	non-homologous end joining protein Ku	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
3205083	whiB7	transcriptional regulator WhiB7	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886202	eccCb1	ESX-1 secretion system protein EccCb	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886250	Rv3915	peptidoglycan hydrolase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887026	embR	transcriptional regulator EmbR	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
887009	dnaB	replicative DNA helicase	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
885284	pknE	serine/threonine-protein kinase PknE	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886135	Rv3802c	membrane protein	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886184	espR	ESX-1 transcriptional regulator EspR	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
886786	sigG	ECF RNA polymerase sigma factor SigG	Mycobacterium tuberculosis H37Rv	PROTEIN_CODING		
